Profil,ProfilKey,Metrik,Einheit,Hypothese,Kestrel-Kit (Prototyp) n,Kestrel-Kit (Prototyp) Median,Kestrel-Kit (Prototyp) IQR,Kestrel-Kit (Prototyp) Mean,Kestrel-Kit (Prototyp) SD,Kestrel-Kit (Prototyp) Min,Kestrel-Kit (Prototyp) Max,Kestrel-Kit (Prototyp) CV%,Legacy (Baseline 1) n,Legacy (Baseline 1) Median,Legacy (Baseline 1) IQR,Legacy (Baseline 1) Mean,Legacy (Baseline 1) SD,Legacy (Baseline 1) Min,Legacy (Baseline 1) Max,Legacy (Baseline 1) CV%,Legacy (Baseline 2) n,Legacy (Baseline 2) Median,Legacy (Baseline 2) IQR,Legacy (Baseline 2) Mean,Legacy (Baseline 2) SD,Legacy (Baseline 2) Min,Legacy (Baseline 2) Max,Legacy (Baseline 2) CV%
Cable (Referenz),cable,First Contentful Paint,ms,H1/H2,50,101.37,35.6,159.73,186.48,95.5,1357.23,116.8,50,308.18,62.0,361.99,314.71,239.94,2485.52,86.9,50,180.52,47.51,222.52,90.95,164.59,573.17,40.9
Cable (Referenz),cable,Largest Contentful Paint,ms,H1,50,101.37,35.6,159.73,186.48,95.5,1357.23,116.8,50,310.3,63.91,365.25,314.76,239.94,2485.52,86.2,50,192.36,51.6,233.46,98.48,164.59,585.6,42.2
Cable (Referenz),cable,Time to Interactive,ms,H2,50,115.28,112.69,233.46,261.47,98.0,1371.15,112.0,50,370.33,91.69,434.64,326.85,280.25,2503.89,75.2,50,235.84,165.44,360.49,243.58,207.43,1359.15,67.6
Cable (Referenz),cable,Total Blocking Time,ms,H2,50,0.0,0.0,0.69,2.34,0.0,9.64,340.7,50,0.0,0.0,0.19,1.31,0.0,9.26,707.1,50,0.0,0.0,0.51,1.78,0.0,8.6,345.9
Cable (Referenz),cable,Cumulative Layout Shift,,H1,50,0.0,0.0,0.0,0.0,0.0,0.0,,50,0.0,0.0,0.0,0.0,0.0,0.01,342.6,50,0.0,0.0,0.1,0.19,0.0,0.47,193.7
Cable (Referenz),cable,Speed Index,ms,H1,50,47.0,5.75,76.22,162.88,39.0,1176.0,213.7,50,303.5,61.25,353.46,309.18,230.0,2437.0,87.5,50,175.0,46.75,216.66,91.52,158.0,569.0,42.2
Cable (Referenz),cable,JS-Ausführungszeit,ms,H2,50,114.8,9.8,116.17,7.11,99.79,132.45,6.1,50,81.56,15.34,85.32,10.02,69.55,106.55,11.7,50,82.68,19.67,87.8,11.79,74.13,119.6,13.4
Cable (Referenz),cable,JS Heap (Used),MB,H2,50,13.33,0.39,13.97,1.36,13.07,17.93,9.7,50,11.54,1.52,10.85,0.79,9.86,11.67,7.3,50,11.62,1.61,11.6,0.86,9.98,12.83,7.4
Cable (Referenz),cable,Payload (gesamt),KB,H1,50,1200.68,102.65,1217.05,87.16,1105.95,1501.0,7.2,50,829.5,8.62,832.12,3.99,829.25,838.19,0.5,50,857.2,8.68,859.92,4.11,857.0,865.96,0.5
Cable (Referenz),cable,HTTP-Requests,,H1,50,132.0,4.75,132.2,4.04,126.0,148.0,3.1,50,96.0,4.0,97.22,1.84,96.0,100.0,1.9,50,100.0,4.0,101.28,1.88,100.0,104.0,1.9
